Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Dwight Clark*+,SFO,25,WR,9,8,60,913,15.2,5,51,,6.7,101.4,1,ClarDw00
2,Kellen Winslow*+,SDG,25,TE,9,9,54,721,13.4,6,40,,6,80.1,1,WinsKe00
3,James Wilder,TAM,24,FB,9,9,53,466,8.8,1,32,,5.9,51.8,5,WildJa00
4,Wes Chandler*+,SDG,26,WR,8,8,49,1032,21.1,9,66,,6.1,129,0,ChanWe00
5,Cris Collinsworth*,CIN,23,WR,9,9,49,700,14.3,1,50,,5.4,77.8,1,CollCr00
6,Ozzie Newsome,CLE,26,TE,9,9,49,633,12.9,3,54,,5.4,70.3,0,NewsOz00
7,Dan Ross*,CIN,25,TE,9,9,47,508,10.8,3,28,,5.2,56.4,1,RossDa00
8,William Andrews*,ATL,27,FB,9,9,42,503,12,2,86,,4.7,55.9,1,AndrWi00
9,Todd Christensen,RAI,26,TE,9,9,42,510,12.1,4,50,,4.7,56.7,3,ChriTo00
10,Henry Marshall,KAN,28,WR,9,9,40,549,13.7,3,44,,4.4,61,0,MarsHe00
11,Wesley Walker*,NYJ,27,WR,9,9,39,620,15.9,6,56,,4.3,68.9,0,WalkWe00
12,Marcus Allen*+,RAI,22,RB,9,9,38,401,10.6,3,51,,4.2,44.6,5,AlleMa00
13,Wendell Tyler,RAM,27,RB,9,9,38,375,9.9,4,40,,4.2,41.7,10,TyleWe00
14,Jeff Moore,SFO,26,RB,9,4,37,405,10.9,4,55,,4.1,45,4,MoorJe01
15,Rick Parros,DEN,24,FB,9,9,37,259,7,2,24,,4.1,28.8,3,ParrRi00
16,Dave Casper,HOU,30,TE,9,9,36,573,15.9,6,38,,4,63.7,1,CaspDa00
17,Charlie Joiner,SDG,35,WR,9,9,36,545,15.1,0,43,,4,60.6,1,JoinCh00
18,Matt Suhey,CHI,24,FB,9,8,36,333,9.3,0,45,,4,37,2,SuheMa00
19,Pat Tilley,STL,29,WR,9,8,36,465,12.9,2,34,,4,51.7,0,TillPa00
