Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Kellen Winslow*+,SDG,24,TE,16,16,88,1075,12.2,10,67,,5.5,67.2,2,WinsKe00
2,Dwight Clark*,SFO,24,WR,16,16,85,1105,13,4,78,,5.3,69.1,0,ClarDw00
3,Ted Brown,MIN,24,FB,16,16,83,694,8.4,2,63,,5.2,43.4,3,BrowTe00
4,William Andrews*,ATL,26,FB,16,16,81,735,9.1,2,70,,5.1,45.9,12,AndrWi00
5,Joe Senser*,MIN,25,TE,16,16,79,1004,12.7,8,53,,4.9,62.8,3,SensJo00
6,Steve Largent*,SEA,27,WR,16,16,75,1224,16.3,9,57,,4.7,76.5,2,LargSt00
7,James Lofton*+,GNB,25,WR,16,16,71,1294,18.2,8,75,,4.4,80.9,0,LoftJa00
8,Dan Ross,CIN,24,TE,16,16,71,910,12.8,5,37,,4.4,56.9,3,RossDa00
9,Alfred Jenkins*+,ATL,29,WR,16,16,70,1358,19.4,13,67,,4.4,84.9,3,JenkAl00
10,Charlie Joiner,SDG,34,WR,16,16,70,1188,17,7,57,,4.4,74.3,2,JoinCh00
11,Frank Lewis*,BUF,34,WR,16,16,70,1244,17.8,4,33,,4.4,77.8,1,LewiFr00
12,Joe Washington,WAS,28,RB,14,13,70,558,8,3,32,,5,39.9,8,WashJo00
13,Wes Chandler,2TM,25,WR,16,15,69,1142,16.6,6,51,,4.3,71.4,1,ChanWe00
14,Ozzie Newsome*,CLE,25,TE,16,16,69,1002,14.5,6,62,,4.3,62.6,0,NewsOz00
15,Cris Collinsworth*,CIN,22,WR,16,16,67,1009,15.1,8,74,,4.2,63.1,3,CollCr00
16,Pat Tilley,STL,28,WR,16,16,66,1040,15.8,3,75,,4.1,65,1,TillPa00
17,Sammy White,MIN,27,WR,16,16,66,1001,15.2,3,53,,4.1,62.6,1,WhitSa00
18,Gerry Ellis,GNB,24,FB,16,16,65,499,7.7,3,46,,4.1,31.2,5,ElliGe00
19,Greg Pruitt,CLE,30,RB,15,6,65,636,9.8,4,33,,4.3,42.4,3,PruiGr00
20,Mike Pruitt,CLE,27,FB,16,16,63,442,7,1,21,,3.9,27.6,5,PruiMi00
21,J.T. Smith,KAN,26,WR,16,15,63,852,13.5,2,42,,3.9,53.3,2,SmitJT00
22,John Stallworth,PIT,29,WR,16,16,63,1098,17.4,5,55,,3.9,68.6,4,StalJo00
23,Harold Carmichael,PHI,32,WR,16,16,61,1028,16.9,6,85,,3.8,64.3,3,CarmHa00
24,Steve Watson*,DEN,24,WR,16,13,60,1244,20.7,13,95,,3.8,77.8,0,WatsSt00
25,Freddie Solomon,SFO,28,WR,15,15,59,969,16.4,8,60,,3.9,64.6,3,SoloFr01
26,Ahmad Rashad*,MIN,32,WR,16,15,58,884,15.2,7,53,,3.6,55.3,1,RashAh00
27,Kevin House,TAM,24,WR,16,16,56,1176,21,9,84,,3.5,73.5,2,HousKe00
28,Art Monk,WAS,24,WR,16,16,56,894,16,6,79,,3.5,55.9,0,MonkAr00
29,Jerry Butler,BUF,24,WR,16,16,55,842,15.3,8,67,,3.4,52.6,2,ButlJe00
30,Lynn Cain,ATL,26,RB,16,16,55,421,7.7,2,28,,3.4,26.3,3,CainLy00
31,Paul Coffman,GNB,25,TE,16,16,55,687,12.5,4,29,,3.4,42.9,1,CoffPa00
32,Duriel Harris,MIA,27,WR,15,12,53,911,17.2,2,55,,3.5,60.7,0,HarrDu00
33,Freddie Scott,DET,29,WR,16,15,53,1022,19.3,5,48,,3.3,63.9,0,ScotFr01
34,Bruce Harper,NYJ,26,RB,16,7,52,459,8.8,1,24,,3.3,28.7,7,HarpBr00
35,Dave Preston,DEN,26,RB,16,14,52,507,9.8,0,37,,3.3,31.7,4,PresDa00
