Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Todd Christensen*,RAI,30,TE,16,16,95,1153,12.1,8,35,,5.9,72.1,1,ChriTo00
2,Jerry Rice*+,SFO,24,WR,16,15,86,1570,18.3,15,66,,5.4,98.1,2,RiceJe00
3,Al Toon*+,NYJ,23,WR,16,16,85,1176,13.8,8,62,,5.3,73.5,3,ToonAl00
4,Stanley Morgan*,NWE,31,WR,16,16,84,1491,17.8,10,44,,5.3,93.2,0,MorgSt00
5,Roger Craig,SFO,26,FB,16,15,81,624,7.7,0,48,,5.1,39,4,CraiRo00
6,Gary Anderson*,SDG,25,RB,16,12,80,871,10.9,8,65,,5,54.4,5,AndeGa00
7,J.T. Smith,STL,31,WR,16,16,80,1014,12.7,6,45,,5,63.4,1,SmitJT00
8,Tony Collins,NWE,27,RB,16,15,77,684,8.9,5,49,,4.8,42.8,4,CollTo01
9,Herschel Walker,DAL,24,RB,16,9,76,837,11,2,84,,4.8,52.3,5,WalkHe00
10,Gary Clark*,WAS,24,WR,15,15,74,1265,17.1,7,55,,4.9,84.3,1,ClarGa00
11,Art Monk*,WAS,29,WR,16,16,73,1068,14.6,4,69,,4.6,66.8,2,MonkAr00
12,Matt Bouza,IND,27,WR,16,14,71,830,11.7,5,33,,4.4,51.9,0,BouzMa00
13,Steve Largent*,SEA,32,WR,16,16,70,1070,15.3,9,38,,4.4,66.9,3,LargSt00
14,Mickey Shuler*,NYJ,30,TE,16,16,69,675,9.8,4,36,,4.3,42.2,0,ShulMi00
15,Mark Duper*,MIA,27,WR,16,16,67,1313,19.6,11,85,,4.2,82.1,0,DupeMa00
16,Mark Bavaro*+,NYG,23,TE,16,15,66,1001,15.2,4,41,,4.1,62.6,3,BavaMa00
17,Bill Brooks,IND,22,WR,16,12,65,1131,17.4,8,84,,4.1,70.7,2,BrooBi00
