Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
116,Albert Bentley,IND,28,RB,16,2,26,252,9.7,1,21,,1.6,15.8,2,BentAl00
117,Emile Harry,KAN,25,WR,16,2,26,362,13.9,1,38,,1.6,22.6,0,HarrEm00
118,Johnny Hector,NYJ,28,RB,16,1,26,237,9.1,0,30,,1.6,14.8,3,HectJo00
119,Steve Smith,RAI,24,FB,16,6,26,299,11.5,6,45,,1.6,18.7,1,SmitSt00
120,John Tice,NOR,28,TE,15,12,26,297,11.4,1,40,,1.7,19.8,0,TiceJo00
121,Wesley Walker,NYJ,33,WR,16,10,26,551,21.2,7,50,,1.6,34.4,1,WalkWe00
122,Matt Bouza,IND,29,WR,15,5,25,342,13.7,4,28,,1.7,22.8,0,BouzMa00
123,Stump Mitchell,PHO,29,RB,14,14,25,214,8.6,1,28,,1.8,15.3,6,MitcSt00
124,Greg Bell,RAM,26,RB,16,13,24,124,5.2,2,20,,1.5,7.8,6,BellGr00
125,Paul Ott Carruth,GNB,27,RB,15,4,24,211,8.8,0,31,,1.6,14.1,4,CarrPa00
126,Paul Skansi,SEA,27,WR,16,1,24,238,9.9,1,21,,1.5,14.9,0,SkanPa00
127,Alfred Anderson,MIN,27,FB,16,13,23,242,10.5,1,19,,1.4,15.1,3,AndeAl00
128,Fred Banks,MIA,26,WR,11,2,23,430,18.7,2,55,,2.1,39.1,0,BankFr00
129,Chris Burkett,BUF,26,WR,11,8,23,354,15.4,1,34,,2.1,32.2,0,BurkCh00
130,Lorenzo Hampton,MIA,26,RB,16,10,23,204,8.9,3,39,,1.4,12.8,2,HampLo00
131,Ernie Jones,PHO,24,WR,16,0,23,496,21.6,3,93,,1.4,31,1,JoneEr00
132,Craig McEwen,WAS,23,RB,14,8,23,323,14,0,46,,1.6,23.1,0,McEwCr00
133,Curtis Duncan,HOU,23,WR,16,0,22,302,13.7,1,36,,1.4,18.9,0,DuncCu00
134,Jonathan Hayes,KAN,26,TE,16,9,22,233,10.6,1,25,,1.4,14.6,0,HayeJo00
135,Cedric Jones,NWE,28,WR,16,2,22,313,14.2,1,41,,1.4,19.6,1,JoneCe00
136,Gary Lee,DET,23,WR,14,6,22,261,11.9,1,18,,1.6,18.6,2,LeexGa00
137,Charles Lockett,PIT,23,WR,16,5,22,365,16.6,1,44,,1.4,22.8,0,LockCh00
138,Joe Morris,NYG,28,RB,16,15,22,166,7.5,0,24,,1.4,10.4,7,MorrJo00
139,Mike Quick,PHI,29,WR,8,8,22,508,23.1,4,55,,2.8,63.5,0,QuicMi00
140,Gerald Riggs,ATL,28,RB,9,9,22,171,7.8,0,30,,2.4,19,3,RiggGe00
141,Curt Warner,SEA,27,RB,16,16,22,154,7,2,17,,1.4,9.6,5,WarnCu00
142,Carl Bland,DET,27,WR,16,2,21,307,14.6,2,35,,1.3,19.2,1,BlanCa00
143,Orson Mobley,DEN,25,TE,16,9,21,218,10.4,2,28,,1.3,13.6,1,MoblOr00
144,Brad Muster,CHI,23,RB,16,0,21,236,11.2,1,40,,1.3,14.8,1,MustBr00
145,Ickey Woods,CIN,22,FB,16,10,21,199,9.5,0,25,,1.3,12.4,8,WoodIc00
146,Jeff Chadwick,DET,28,WR,10,8,20,304,15.2,3,32,,2,30.4,0,ChadJe00
147,Brent Fullwood,GNB,25,FB,14,10,20,128,6.4,1,30,,1.4,9.1,6,FullBr00
148,Herman Heard,KAN,27,RB,12,5,20,198,9.9,0,32,,1.7,16.5,2,HearHe00
149,Aubrey Matthews,2TM,26,WR,11,2,20,231,11.6,2,25,,1.8,21,2,MattAu00
150,Patrick Scott,GNB,24,WR,16,0,20,275,13.8,1,41,,1.3,17.2,0,ScotPa00
151,Matt Suhey,CHI,30,FB,16,16,20,154,7.7,0,29,,1.3,9.6,1,SuheMa00
152,Clarence Verdin,IND,25,WR,16,11,20,437,21.9,4,54,,1.3,27.3,0,VerdCl00
153,Maurice Carthon,NYG,27,FB,16,14,19,194,10.2,1,24,,1.2,12.1,0,CartMa00
154,Robert Clark,NOR,23,WR,16,0,19,245,12.9,2,21,,1.2,15.3,1,ClarRo00
155,Herman Fontenot,CLE,25,RB,16,1,19,170,8.9,1,15,,1.2,10.6,0,FontHe00
156,Ron Johnson,PHI,30,WR,10,4,19,417,21.9,2,54,,1.9,41.7,0,JohnRo01
157,James Saxon,KAN,22,FB,16,4,19,177,9.3,0,22,,1.2,11.1,0,SaxoJa00
158,Roger Vick,NYJ,24,FB,16,12,19,120,6.3,0,17,,1.2,7.5,5,VickRo00
159,Ray Butler,SEA,32,WR,11,5,18,242,13.4,4,46,,1.6,22,0,ButlRa00
160,Thornton Chandler,DAL,25,TE,16,12,18,186,10.3,1,29,,1.1,11.6,0,ChanTh00
161,Arthur Cox,SDG,27,TE,16,16,18,144,8,0,20,,1.1,9,0,CoxxAr00
162,Darren Flutie,SDG,22,WR,16,0,18,208,11.6,2,28,,1.1,13,2,FlutDa00
163,Thurman Thomas,BUF,22,RB,15,15,18,208,11.6,0,34,,1.2,13.9,9,ThomTh00
164,Stacey Bailey,ATL,28,WR,10,9,17,437,25.7,2,68,,1.7,43.7,0,BailSt00
165,Darryl Clack,DAL,25,RB,15,0,17,126,7.4,1,18,,1.1,8.4,0,ClacDa00
