Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Roger Craig*,SFO,25,FB,16,16,92,1016,11,6,73,,5.8,63.5,5,CraiRo00
2,Art Monk*,WAS,28,WR,15,14,91,1226,13.5,2,53,,6.1,81.7,2,MonkAr00
3,Lionel James,SDG,23,RB,16,7,86,1027,11.9,6,67,,5.4,64.2,9,JameLi00
4,Todd Christensen*+,RAI,29,TE,16,16,82,987,12,6,48,,5.1,61.7,0,ChriTo00
5,Butch Woolfolk,HOU,25,RB,16,14,80,814,10.2,4,80,,5,50.9,5,WoolBu00
6,Steve Largent*+,SEA,31,WR,16,16,79,1287,16.3,6,43,,4.9,80.4,0,LargSt00
7,Mickey Shuler,NYJ,29,TE,16,13,76,879,11.6,7,35,,4.8,54.9,1,ShulMi00
8,John Stallworth,PIT,33,WR,16,16,75,937,12.5,5,41,,4.7,58.6,0,StalJo00
9,Tony Hill*,DAL,29,WR,15,14,74,1113,15,7,53,,4.9,74.2,2,HillTo00
10,Mike Quick*+,PHI,26,WR,16,15,73,1247,17.1,11,99,,4.6,77.9,1,QuicMi00
11,Gary Clark,WAS,23,WR,16,10,72,926,12.9,5,55,,4.5,57.9,0,ClarGa00
12,Tony Nathan,MIA,29,RB,16,15,72,651,9,1,73,,4.5,40.7,7,NathTo00
13,Mark Clayton*,MIA,24,WR,16,16,70,996,14.2,4,45,,4.4,62.3,2,ClayMa00
14,James Lofton*,GNB,29,WR,16,16,69,1153,16.7,4,56,,4.3,72.1,3,LoftJa00
15,Steve Jordan,MIN,24,TE,16,16,68,795,11.7,0,32,,4.3,49.7,2,JordSt00
16,Marcus Allen*+,RAI,25,RB,16,16,67,555,8.3,3,44,,4.2,34.7,3,AlleMa00
17,Wes Chandler*,SDG,29,WR,15,13,67,1199,17.9,10,75,,4.5,79.9,1,ChanWe00
18,Cris Collinsworth,CIN,26,WR,16,16,65,1125,17.3,5,71,,4.1,70.3,1,CollCr00
19,Doug Cosbie*,DAL,29,TE,16,16,64,793,12.4,6,42,,4,49.6,2,CosbDo00
20,Drew Hill,HOU,29,WR,16,16,64,1169,18.3,9,57,,4,73.1,0,HillDr00
21,John Spagnola,PHI,28,TE,16,16,64,772,12.1,5,35,,4,48.3,1,SpagJo00
22,Billy Johnson,ATL,33,WR,16,8,62,830,13.4,5,62,,3.9,51.9,4,JohnBi01
23,Ozzie Newsome*,CLE,29,TE,16,16,62,711,11.5,5,38,,3.9,44.4,0,NewsOz00
24,Steve Watson,DEN,28,WR,16,15,61,915,15,5,60,,3.8,57.2,0,WatsSt00
25,Mike Renfro,DAL,30,WR,16,16,60,955,15.9,8,58,,3.8,59.7,3,RenfMi00
