Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,J.T. Smith,STL,32,WR,15,14,91,1117,12.3,8,38,,6.1,74.5,2,SmitJT00
2,Al Toon*,NYJ,24,WR,12,11,68,976,14.4,5,58,,5.7,81.3,0,ToonAl00
3,Roger Craig*,SFO,27,RB/FB,14,14,66,492,7.5,1,35,,4.7,35.1,5,CraiRo00
4,Jerry Rice*+,SFO,25,WR,12,12,65,1078,16.6,22,57,,5.4,89.8,2,RiceJe00
5,Herschel Walker*,DAL,25,RB,12,11,60,715,11.9,1,44,,5,59.6,4,WalkHe00
6,Steve Largent*,SEA,33,WR,13,13,58,912,15.7,8,55,,4.5,70.2,2,LargSt00
7,Pete Mandley,DET,26,WR,12,12,58,720,12.4,7,41,,4.8,60,0,MandPe00
8,Andre Reed,BUF,23,WR,12,12,57,752,13.2,5,40,,4.8,62.7,0,ReedAn00
9,Chris Burkett,BUF,25,WR,12,12,56,765,13.7,4,47,,4.7,63.8,1,BurkCh00
10,Gary Clark*+,WAS,25,WR,12,11,56,1066,19,7,84,,4.7,88.8,3,ClarGa00
11,Ronnie Harmon,BUF,23,RB,12,10,56,477,8.5,2,42,,4.7,39.8,2,HarmRo00
12,Mark Bavaro*+,NYG,24,TE,12,12,55,867,15.8,8,38,,4.6,72.3,2,BavaMa00
13,Carlos Carson*,KAN,29,WR,12,12,55,1044,19,7,81,,4.6,87,1,CarsCa00
14,Ernest Givins,HOU,23,WR,12,12,53,933,17.6,6,83,,4.4,77.8,2,GiviEr00
15,Kellen Winslow*,SDG,30,TE,12,12,53,519,9.8,3,30,,4.4,43.3,1,WinsKe00
16,Earnest Byner,CLE,25,RB,12,12,52,552,10.6,2,37,,4.3,46,5,ByneEa00
17,Marcus Allen*,RAI,27,RB,12,12,51,410,8,0,39,,4.3,34.2,3,AlleMa00
18,Bill Brooks,IND,23,WR,12,12,51,722,14.2,3,52,,4.3,60.2,3,BrooBi00
19,Henry Ellard,RAM,26,WR,12,12,51,799,15.7,3,81,,4.3,66.6,3,EllaHe00
20,Drew Hill,HOU,31,WR,12,12,49,989,20.2,6,52,,4.1,82.4,1,HillDr00
21,Troy Stradford,MIA,23,RB,12,5,48,457,9.5,1,34,,4,38.1,6,StraTr00
22,Gary Anderson,SDG,26,RB,12,7,47,503,10.7,2,38,,3.9,41.9,4,AndeGa00
23,Neal Anderson,CHI,23,FB,11,10,47,467,9.9,3,59,,4.3,42.5,2,AndeNe00
24,Todd Christensen*,RAI,31,TE,12,12,47,663,14.1,2,33,,3.9,55.3,0,ChriTo00
25,Webster Slaughter,CLE,23,WR,12,12,47,806,17.1,7,54,,3.9,67.2,1,SlauWe00
26,Mark Clayton,MIA,26,WR,12,12,46,776,16.9,7,43,,3.8,64.7,0,ClayMa00
27,Mike Quick*,PHI,28,WR,12,12,46,790,17.2,11,61,,3.8,65.8,3,QuicMi00
28,Mike Renfro,DAL,32,WR,14,11,46,662,14.4,4,43,,3.3,47.3,1,RenfMi00
29,Stump Mitchell,STL,28,RB,12,12,45,397,8.8,2,39,,3.8,33.1,3,MitcSt00
