Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Sterling Sharpe*+,GNB,24,WR,16,16,90,1423,15.8,12,79,,5.6,88.9,1,SharSt00
2,Andre Reed*,BUF,25,WR,16,16,88,1312,14.9,9,78,,5.5,82,4,ReedAn00
3,Mark Carrier*,TAM,24,WR,16,15,86,1422,16.5,9,78,,5.4,88.9,1,CarrMa00
4,Art Monk,WAS,32,WR,16,12,86,1186,13.8,8,60,,5.4,74.1,2,MonkAr00
5,Jerry Rice*+,SFO,27,WR,16,16,82,1483,18.1,17,68,,5.1,92.7,0,RiceJe00
6,Ricky Sanders,WAS,29,WR,16,12,80,1138,14.2,4,68,,5,71.1,0,SandRi00
7,Gary Clark,WAS,27,WR,15,12,79,1229,15.6,9,80,,5.3,81.9,1,ClarGa00
8,Brian Blades*,SEA,24,WR,16,14,77,1063,13.8,5,60,,4.8,66.4,3,BladBr00
9,Vance Johnson,DEN,26,WR,16,16,76,1095,14.4,7,69,,4.8,68.4,0,JohnVa00
10,John Williams,SEA,25,FB,15,15,76,657,8.6,6,51,,5.1,43.8,2,WillJo00
11,Anthony Miller*,SDG,24,WR,16,16,75,1252,16.7,10,69,,4.7,78.3,1,MillAn00
12,Tom Rathman,SFO,27,FB,16,16,73,616,8.4,1,36,,4.6,38.5,1,RathTo00
13,Henry Ellard*,RAM,28,WR,14,12,70,1382,19.7,8,53,,5,98.7,0,EllaHe00
14,Richard Johnson,DET,28,WR,16,15,70,1091,15.6,8,75,,4.4,68.2,3,JohnRi00
15,Keith Byars,PHI,26,RB,16,15,68,721,10.6,0,60,,4.3,45.1,4,ByarKe00
16,Eric Martin,NOR,28,WR,16,15,68,1090,16,8,53,,4.3,68.1,1,MartEr00
17,Drew Hill,HOU,33,WR,14,12,66,938,14.2,8,50,,4.7,67,1,HillDr00
18,Anthony Carter*,MIN,29,WR,16,16,65,1066,16.4,4,50,,4.1,66.6,0,CartAn00
19,Tim McGee,CIN,25,WR,16,16,65,1211,18.6,8,74,,4.1,75.7,0,McGeTi00
20,Webster Slaughter*,CLE,25,WR,16,16,65,1236,19,6,97,,4.1,77.3,2,SlauWe00
21,Mark Clayton,MIA,28,WR,15,15,64,1011,15.8,9,78,,4.3,67.4,1,ClayMa00
22,Bill Brooks,IND,25,WR,16,16,63,919,14.6,4,55,,3.9,57.4,1,BrooBi00
23,Keith Jackson*+,PHI,24,TE,14,12,63,648,10.3,3,33,,4.5,46.3,1,JackKe00
24,Al Toon,NYJ,26,WR,11,10,63,693,11,2,37,,5.7,63,0,ToonAl00
25,J.T. Smith,PHO,34,WR,9,8,62,778,12.5,5,31,,6.9,86.4,0,SmitJT00
26,Jim Jensen,MIA,31,WR,16,1,61,557,9.1,6,20,,3.8,34.8,0,JensJi00
