Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Kellen Winslow*+,SDG,23,TE,16,11,89,1290,14.5,9,65,,5.6,80.6,2,WinsKe00
2,Earl Cooper,SFO,23,FB,16,16,83,567,6.8,4,66,,5.2,35.4,8,CoopEa00
3,Dwight Clark,SFO,23,WR,16,12,82,991,12.1,8,71,,5.1,61.9,2,ClarDw00
4,John Jefferson*+,SDG,24,WR,16,16,82,1340,16.3,13,58,,5.1,83.8,0,JeffJo00
5,Charlie Joiner*+,SDG,33,WR,16,16,71,1132,15.9,4,51,,4.4,70.8,3,JoinCh00
6,James Lofton*,GNB,24,WR,16,16,71,1226,17.3,4,47,,4.4,76.6,0,LoftJa00
7,Ahmad Rashad*,MIN,31,WR,16,16,69,1095,15.9,5,76,,4.3,68.4,0,RashAh00
8,Pat Tilley*,STL,27,WR,14,14,68,966,14.2,6,60,,4.9,69,0,TillPa00
9,Steve Largent,SEA,26,WR,16,16,66,1064,16.1,6,67,,4.1,66.5,1,LargSt00
10,Wes Chandler,NOR,24,WR,16,16,65,975,15,6,50,,4.1,60.9,2,ChanWe00
11,Rickey Young,MIN,27,RB,16,16,64,499,7.8,2,22,,4,31.2,2,YounRi00
12,Mike Pruitt*,CLE,26,FB,16,16,63,471,7.5,0,28,,3.9,29.4,9,PruiMi00
13,Ted Brown,MIN,23,FB,16,16,62,623,10,2,67,,3.9,38.9,6,BrowTe00
14,Sam McCullum,SEA,28,WR,16,16,62,874,14.1,6,58,,3.9,54.6,0,McCuSa00
15,Roger Carr,BAL,28,WR,16,16,61,924,15.1,5,43,,3.8,57.8,0,CarrRo00
16,Tony Hill,DAL,24,WR,16,13,60,1055,17.6,8,58,,3.8,65.9,0,HillTo00
17,Mike Barber,HOU,27,TE,16,16,59,712,12.1,5,79,,3.7,44.5,0,BarbMi01
18,Alfred Jenkins*,ATL,28,WR,16,16,58,1035,17.8,6,57,,3.6,64.7,0,JenkAl00
19,Art Monk,WAS,23,WR,16,11,58,797,13.7,3,54,,3.6,49.8,0,MonkAr00
