Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Art Monk*+,WAS,27,WR,16,16,106,1372,12.9,7,72,,6.6,85.8,1,MonkAr00
2,Ozzie Newsome*+,CLE,28,TE,16,15,89,1001,11.2,5,52,,5.6,62.6,0,NewsOz00
3,James Wilder*,TAM,26,RB,16,16,85,685,8.1,0,50,,5.3,42.8,10,WildJa00
4,Todd Christensen*,RAI,28,TE,16,16,80,1007,12.6,7,38,,5,62.9,1,ChriTo00
5,John Stallworth*,PIT,32,WR,16,16,80,1395,17.4,11,51,,5,87.2,1,StalJo00
6,Roy Green*+,STL,27,WR,16,16,78,1555,19.9,12,83,,4.9,97.2,1,GreeRo01
7,James Jones,DET,23,FB,16,16,77,662,8.6,5,39,,4.8,41.4,6,JoneJa00
8,Kevin House,TAM,27,WR,16,16,76,1005,13.2,5,55,,4.8,62.8,0,HousKe00
9,Steve Largent*,SEA,30,WR,16,16,74,1164,15.7,12,65,,4.6,72.8,1,LargSt00
10,Mark Clayton*,MIA,23,WR,15,15,73,1389,19,18,65,,4.9,92.6,2,ClayMa00
11,Roger Craig,SFO,24,FB,16,16,71,675,9.5,3,64,,4.4,42.2,3,CraiRo00
12,Mark Duper*,MIA,25,WR,16,16,71,1306,18.4,8,80,,4.4,81.6,0,DupeMa00
13,Ottis Anderson,STL,27,RB,15,15,70,611,8.7,2,57,,4.7,40.7,8,AndeOt00
14,Byron Franklin,BUF,26,WR,16,16,69,862,12.5,4,64,,4.3,53.9,4,FranBy00
15,Tim Smith,HOU,27,WR,16,14,69,1141,16.5,4,75,,4.3,71.3,0,SmitTi01
16,Steve Watson,DEN,27,WR,16,16,69,1170,17,7,73,,4.3,73.1,0,WatsSt00
17,Mickey Shuler,NYJ,28,TE,16,16,68,782,11.5,6,49,,4.3,48.9,1,ShulMi00
18,Stacey Bailey,ATL,24,WR,16,16,67,1138,17,6,61,,4.2,71.1,1,BailSt00
19,Derrick Ramsey,NWE,28,TE,16,13,66,792,12,7,34,,4.1,49.5,0,RamsDe00
20,John Spagnola,PHI,27,TE,16,16,65,701,10.8,1,34,,4.1,43.8,2,SpagJo00
21,Marcus Allen*,RAI,24,RB,16,16,64,758,11.8,5,92,,4,47.4,8,AlleMa00
22,Cris Collinsworth,CIN,25,WR,15,14,64,989,15.5,6,57,,4.3,65.9,0,CollCr00
23,James Lofton*,GNB,28,WR,16,16,62,1361,22,7,79,,3.9,85.1,1,LoftJa00
24,Henry Marshall,KAN,30,WR,16,16,62,912,14.7,4,37,,3.9,57,2,MarsHe00
25,Charlie Joiner,SDG,37,WR,16,16,61,793,13,6,41,,3.8,49.6,0,JoinCh00
26,Tony Nathan,MIA,28,RB,16,12,61,579,9.5,2,26,,3.8,36.2,3,NathTo00
27,Mike Quick*,PHI,25,WR,14,14,61,1052,17.2,9,90,,4.4,75.1,0,QuicMi00
28,Gerald Carter,TAM,27,WR,16,9,60,816,13.6,5,74,,3.8,51,1,CartGe00
29,Doug Cosbie*,DAL,28,TE,16,16,60,789,13.2,4,36,,3.8,49.3,1,CosbDo00
30,Wilbert Montgomery,PHI,30,RB,16,15,60,501,8.4,0,28,,3.8,31.3,5,MontWi00
31,Tony Hill,DAL,28,WR,11,11,58,864,14.9,5,66,,5.3,78.5,0,HillTo00
32,Carlos Carson,KAN,26,WR,16,16,57,1078,18.9,4,57,,3.6,67.4,0,CarsCa00
33,Pete Holohan,SDG,25,TE,15,4,56,734,13.1,1,51,,3.7,48.9,0,HoloPe00
34,Kellen Winslow,SDG,27,TE,7,7,55,663,12.1,2,33,,7.9,94.7,1,WinsKe00
35,Wes Chandler,SDG,28,WR,15,15,52,708,13.6,6,63,,3.5,47.2,0,ChanWe00
36,Dwight Clark,SFO,27,WR,16,14,52,880,16.9,6,80,,3.3,55,0,ClarDw00
37,Alfred Jackson,ATL,29,WR,16,15,52,731,14.1,2,50,,3.3,45.7,0,JackAl00
38,Pat Tilley,STL,31,WR,16,16,52,758,14.6,5,42,,3.3,47.4,1,TillPa00
39,Tony Dorsett,DAL,30,RB,16,16,51,459,9,1,68,,3.2,28.7,12,DorsTo00
40,Leonard Thompson,DET,32,WR,16,15,50,773,15.5,6,66,,3.1,48.3,1,ThomLe01
41,M.L. Harris,CIN,30,TE,16,16,48,759,15.8,2,80,,3,47.4,2,HarrM.00
42,Bobby Johnson,NYG,23,WR,16,16,48,795,16.6,7,45,,3,49.7,0,JohnBo00
43,Zeke Mowatt,NYG,23,TE,16,16,48,698,14.5,6,34,,3,43.6,0,MowaZe00
44,Leo Lewis,MIN,28,WR,16,5,47,830,17.7,4,56,,2.9,51.9,1,LewiLe00
45,Ted Brown,MIN,27,RB,13,9,46,349,7.6,3,35,,3.5,26.8,2,BrowTe00
46,Ron Springs,DAL,28,FB,16,12,46,454,9.9,3,57,,2.9,28.4,1,SpriRo00
47,Stephen Starring,NWE,23,WR,16,16,46,657,14.3,4,65,,2.9,41.1,1,StarSt00
48,Malcolm Barnwell,RAI,26,WR,16,16,45,851,18.9,2,51,,2.8,53.2,1,BarnMa01
49,Louis Lipps*,PIT,22,WR,14,8,45,860,19.1,9,80,,3.2,61.4,8,LippLo00
50,Walter Payton*+,CHI,31,RB,16,16,45,368,8.2,0,31,,2.8,23,5,PaytWa00
51,Sammy Winder*,DEN,25,RB,16,15,44,288,6.5,2,21,,2.8,18,5,WindSa00
52,Ray Butler,IND,28,WR,16,15,43,664,15.4,6,74,,2.7,41.5,0,ButlRa00
53,Paul Coffman*,GNB,28,TE,14,13,43,562,13.1,9,44,,3.1,40.1,1,CoffPa00
54,Nat Moore,MIA,33,WR,16,1,43,573,13.3,6,37,,2.7,35.8,2,MoorNa00
55,Butch Johnson,DEN,30,WR,16,11,42,587,14,6,49,,2.6,36.7,1,JohnBu00
56,Calvin Muhammad,WAS,26,WR,10,8,42,729,17.4,4,80,,4.2,72.9,1,MuhaCa00
57,Gerald Riggs,ATL,24,RB,15,14,42,277,6.6,0,21,,2.8,18.5,11,RiggGe00
58,Matt Suhey,CHI,26,FB,16,16,42,312,7.4,2,23,,2.6,19.5,6,SuheMa00
59,Earl Cooper,SFO,27,TE,16,8,41,459,11.2,4,26,,2.6,28.7,0,CoopEa00
60,Eric Sievers,SDG,27,TE,14,13,41,438,10.7,3,32,,2.9,31.3,1,SievEr00
61,Wesley Walker,NYJ,29,WR,12,10,41,623,15.2,7,44,,3.4,51.9,0,WalkWe00
62,Jamie Williams,HOU,24,TE,16,16,41,545,13.3,3,32,,2.6,34.1,2,WillJa00
63,Chris Dressel,HOU,23,TE,16,16,40,378,9.5,2,42,,2.5,23.6,1,DresCh00
64,Freddie Solomon,SFO,31,WR,14,13,40,737,18.4,10,64,,2.9,52.6,0,SoloFr01
65,Lin Dawson,NWE,25,TE,16,15,39,427,10.9,4,27,,2.4,26.7,0,DawsLi00
66,Earnest Jackson*,SDG,25,RB,16,14,39,222,5.7,1,21,,2.4,13.9,3,JackEa00
67,Doug Marsh,STL,26,TE,16,16,39,608,15.6,5,47,,2.4,38,0,MarsDo00
68,Tracy Porter,IND,25,WR,16,12,39,590,15.1,2,63,,2.4,36.9,2,PortTr00
69,Theotis Brown,KAN,27,FB,14,7,38,236,6.2,0,17,,2.7,16.9,2,BrowTh00
70,Rich Erenberg,PIT,22,RB,16,9,38,358,9.4,1,25,,2.4,22.4,3,ErenRi00
71,Earnest Gray,NYG,27,WR,12,11,38,529,13.9,2,31,,3.2,44.1,0,GrayEa00
72,Mike Jones,MIN,24,WR,16,14,38,591,15.6,1,70,,2.4,36.9,1,JoneMi00
73,Steve Jordan,MIN,23,TE,14,14,38,414,10.9,2,26,,2.7,29.6,0,JordSt00
74,Stanley Morgan,NWE,29,WR,13,12,38,709,18.7,5,76,,2.9,54.5,0,MorgSt00
75,Jeff Chadwick,DET,24,WR,16,3,37,540,14.6,2,46,,2.3,33.8,0,ChadJe00
76,Tony Galbreath,NYG,30,RB,16,0,37,357,9.6,0,37,,2.3,22.3,0,GalbTo00
77,Gerry Ellis,GNB,27,RB/FB,16,16,36,312,8.7,2,22,,2.3,19.5,2,ElliGe00
78,Brian Brennan,CLE,22,WR,15,5,35,455,13,3,52,,2.3,30.3,1,BrenBr00
79,Hokie Gajan,NOR,25,FB,14,14,35,288,8.2,2,51,,2.5,20.6,0,GajaHo00
80,Stanford Jennings,CIN,22,RB,15,4,35,346,9.9,3,43,,2.3,23.1,3,JennSt00
81,Mike Renfro,DAL,29,WR,16,11,35,583,16.7,2,60,,2.2,36.4,0,RenfMi00
82,Daryl Turner,SEA,23,WR,16,8,35,715,20.4,10,80,,2.2,44.7,0,TurnDa00
83,Greg Bell*,BUF,22,RB,16,15,34,277,8.1,1,37,,2.1,17.3,5,BellGr00
84,James Brooks,CIN,26,RB,15,11,34,268,7.9,2,27,,2.3,17.9,4,BrooJa00
85,Arthur Cox,ATL,23,TE,16,16,34,329,9.7,3,23,,2.1,20.6,1,CoxxAr00
86,Henry Ellard*+,RAM,23,WR,16,16,34,622,18.3,6,63,,2.1,38.9,4,EllaHe00
87,Willie Gault,CHI,24,WR,16,15,34,587,17.3,6,61,,2.1,36.7,1,GaulWi00
88,Dan Johnson,MIA,24,TE,16,16,34,426,12.5,3,42,,2.1,26.6,0,JohnDa02
89,Mark Nichols,DET,25,WR,15,9,34,744,21.9,1,77,,2.3,49.6,0,NichMa00
90,Jeff Groth,NOR,27,WR,16,13,33,487,14.8,0,31,,2.1,30.4,0,GrotJe00
91,Michael Haddix,PHI,23,RB,14,0,33,231,7,0,22,,2.4,16.5,2,HaddMi00
92,Duriel Harris,2TM,30,WR,16,11,33,521,15.8,2,43,,2.1,32.6,0,HarrDu00
93,Tony Hunter,BUF,24,TE,11,9,33,331,10,2,30,,3,30.1,1,HuntTo00
94,Lionel Manuel,NYG,22,WR,16,5,33,619,18.8,4,53,,2.1,38.7,2,ManuLi00
95,Booker Moore,BUF,25,FB,15,15,33,172,5.2,0,14,,2.2,11.5,4,MoorBo00
96,Wayne Wilson,NOR,27,RB,14,2,33,314,9.5,3,34,,2.4,22.4,2,WilsWa02
97,Charle Young,SEA,33,TE,15,13,33,337,10.2,1,31,,2.2,22.5,1,YounCh00
98,Doug Donley,DAL,25,WR,15,9,32,473,14.8,2,49,,2.1,31.5,0,DonlDo00
99,Lam Jones,NYJ,26,WR,8,8,32,470,14.7,1,37,,4,58.8,1,JoneLa00
100,Hubie Oliver,PHI,27,FB,16,15,32,142,4.4,0,21,,2,8.9,0,OlivHu00
101,Dan Doornink,SEA,28,RB,16,3,31,365,11.8,2,32,,1.9,22.8,0,DoorDa00
102,David Hill,RAM,30,TE,16,16,31,300,9.7,1,26,,1.9,18.8,2,HillDa01
103,Larry Moriarty,HOU,26,RB,14,9,31,206,6.6,1,24,,2.2,14.7,5,MoriLa00
