Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Todd Christensen*+,RAI,27,TE,16,16,92,1247,13.6,12,45,,5.8,77.9,1,ChriTo00
2,Ozzie Newsome,CLE,27,TE,16,16,89,970,10.9,6,66,,5.6,60.6,0,NewsOz00
3,Kellen Winslow*,SDG,26,TE,16,16,88,1172,13.3,8,46,,5.5,73.3,3,WinsKe00
4,Tim Smith,HOU,26,WR,16,16,83,1176,14.2,6,47,,5.2,73.5,1,SmitTi01
5,Carlos Carson*,KAN,25,WR,16,16,80,1351,16.9,7,50,,5,84.4,2,CarsCa00
6,Charlie Brown*,WAS,25,WR,15,13,78,1225,15.7,8,75,,5.2,81.7,0,BrowCh00
7,Earnest Gray,NYG,26,WR,16,16,78,1139,14.6,5,62,,4.9,71.2,0,GrayEa00
8,Roy Green*+,STL,26,WR,16,15,78,1227,15.7,14,71,,4.9,76.7,3,GreeRo01
9,Ron Springs,DAL,27,FB,16,14,73,589,8.1,1,80,,4.6,36.8,3,SpriRo00
10,Steve Largent,SEA,29,WR,15,14,72,1074,14.9,11,46,,4.8,71.6,3,LargSt00
11,Dwight Clark,SFO,26,WR,16,13,70,840,12,8,46,,4.4,52.5,0,ClarDw00
12,Mike Quick*+,PHI,24,WR,16,16,69,1409,20.4,13,83,,4.3,88.1,1,QuicMi00
13,Marcus Allen,RAI,23,RB,16,15,68,590,8.7,2,36,,4.3,36.9,14,AlleMa00
14,Cris Collinsworth*,CIN,24,WR,14,14,66,1130,17.1,5,63,,4.7,80.7,2,CollCr00
15,Charlie Joiner,SDG,36,WR,16,16,65,960,14.8,3,33,,4.1,60,2,JoinCh00
16,Billy Johnson*,ATL,31,WR,16,1,64,709,11.1,4,47,,4,44.3,4,JohnBi01
17,Wesley Walker,NYJ,28,WR,16,16,61,868,14.2,7,64,,3.8,54.3,0,WalkWe00
18,William Andrews*,ATL,28,RB,16,16,59,609,10.3,4,40,,3.7,38.1,6,AndrWi00
19,Steve Watson,DEN,26,WR,16,16,59,1133,19.2,5,78,,3.7,70.8,1,WatsSt00
20,Wes Chandler*,SDG,27,WR,16,14,58,845,14.6,5,44,,3.6,52.8,3,ChanWe00
21,James Lofton*,GNB,27,WR,16,16,58,1300,22.4,8,74,,3.6,81.3,0,LoftJa00
22,Stanley Morgan,NWE,28,WR,16,16,58,863,14.9,2,50,,3.6,53.9,5,MorgSt00
23,Joe Cribbs*,BUF,25,RB,16,16,57,524,9.2,7,33,,3.6,32.8,6,CribJo00
24,John Jefferson,GNB,27,WR,16,16,57,830,14.6,7,36,,3.6,51.9,1,JeffJo00
25,James Wilder,TAM,25,FB,10,10,57,380,6.7,2,31,,5.7,38,1,WildJa00
26,Stacey Bailey,ATL,23,WR,14,12,55,881,16,6,53,,3.9,62.9,1,BailSt00
27,Mike Barber,RAM,30,TE,16,16,55,657,11.9,3,42,,3.4,41.1,1,BarbMi01
28,Ottis Anderson,STL,26,RB,15,15,54,459,8.5,1,40,,3.6,30.6,10,AndeOt00
29,Paul Coffman*,GNB,27,TE,16,16,54,814,15.1,11,74,,3.4,50.9,1,CoffPa00
30,Walter Payton*,CHI,30,RB,16,16,53,607,11.5,2,74,,3.3,37.9,5,PaytWa00
31,Gerry Ellis,GNB,26,FB/RB,15,14,52,603,11.6,2,56,,3.5,40.2,7,ElliGe00
32,Tony Nathan,MIA,27,RB,16,12,52,461,8.9,1,25,,3.3,28.8,2,NathTo00
33,Eric Dickerson*+,RAM,23,RB,16,16,51,404,7.9,2,37,,3.2,25.3,13,DickEr00
34,Mark Duper*,MIA,24,WR,16,11,51,1003,19.7,10,85,,3.2,62.7,0,DupeMa00
35,Darrin Nelson,MIN,24,RB,15,10,51,618,12.1,0,68,,3.4,41.2,5,NelsDa00
36,Henry Marshall,KAN,29,WR,13,9,50,788,15.8,6,52,,3.8,60.6,0,MarsHe00
37,Jeff Groth,NOR,26,WR,16,14,49,585,11.9,1,42,,3.1,36.6,3,GrotJe00
38,Tony Hill,DAL,27,WR,12,9,49,801,16.3,7,75,,4.1,66.8,1,HillTo00
39,Hubie Oliver,PHI,26,FB,16,16,49,421,8.6,2,25,,3.1,26.3,5,OlivHu00
40,Matt Suhey,CHI,25,FB,16,13,49,429,8.8,1,52,,3.1,26.8,5,SuheMa00
41,Gerald Carter,TAM,26,WR,16,9,48,694,14.5,2,56,,3,43.4,3,CartGe00
42,Roger Craig,SFO,23,FB,16,13,48,427,8.9,4,23,,3,26.7,6,CraiRo00
43,Bruce Harper,NYJ,28,RB,9,2,48,413,8.6,2,33,,5.3,45.9,1,HarpBr00
44,Theotis Brown,2TM,26,FB/RB,15,9,47,418,8.9,2,53,,3.1,27.9,4,BrowTh00
45,Kevin House,TAM,26,WR,16,16,47,769,16.4,5,74,,2.9,48.1,0,HousKe00
